id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
5330401,Gerald Porter,TWDB,30.55,-102.36,GW,4,3,2,3,0,979.0,1006.0,989.7,1993-07-20,2003-05-22
5330501,Gerald Porter,TWDB,30.55,-102.29,GW,4,4,4,4,0,293.0,974.0,795.2,1973-05-17,1993-05-19
5330601,Gerald Porter,TWDB,30.54,-102.28,GW,1,1,1,1,0,979.0,979.0,979.0,2002-01-15,2002-01-15
5330701,Gerald Porter,TWDB,30.53,-102.37,GW,4,3,2,3,0,331.0,343.0,336.0,1993-07-20,2003-05-22
5331101,Coates Ranch Coates headquarters pump well,TWDB,30.62,-102.22,GW,1,1,0,1,0,438.0,438.0,438.0,2010-05-12,2010-05-12
5331201,Gerald Porter,TWDB,30.61,-102.18,GW,2,2,2,2,0,655.0,669.0,662.0,1993-05-27,1998-10-07
4525609,W.E. Tone,TWDB,31.58,-102.91,GW,2,2,2,2,0,617.0,713.0,665.0,1972-05-15,1972-05-15
5331202,Gerald Porter,TWDB,30.61,-102.18,GW,2,1,1,1,0,664.0,664.0,664.0,2003-05-24,2003-05-24
5331501,David Mitchell,TWDB,30.57,-102.18,GW,1,1,1,1,0,935.0,935.0,935.0,1994-05-26,1994-05-26
5331502,Ruble Ranch,TWDB,30.55,-102.18,GW,1,0,1,1,0,,,,1995-02-16,1995-02-16
5331601,Ruble Ranch,TWDB,30.54,-102.16,GW,2,2,2,2,0,821.0,905.0,863.0,1993-04-15,1998-10-27
5331602,Ruble Ranch,TWDB,30.54,-102.16,GW,4,3,4,4,0,861.0,885.0,869.7,1995-02-17,2007-06-12
4525610,Charles R. Walton,TWDB,31.58,-102.91,GW,1,1,1,1,0,1701.0,1701.0,1701.0,1972-05-15,1972-05-15
5331603,Ruble Ranch,TWDB,30.56,-102.15,GW,2,1,2,2,0,828.0,828.0,828.0,1995-02-16,2007-06-12
5331604,David Mitchell,TWDB,30.58,-102.15,GW,1,0,1,1,0,,,,1995-02-16,1995-02-16
4525611,Charles R. Walton,TWDB,31.58,-102.91,GW,1,1,1,1,0,369.0,369.0,369.0,1972-05-15,1972-05-15
5331901,Ruble Ranch,TWDB,30.52,-102.12,GW,1,1,1,1,0,844.0,844.0,844.0,1994-05-26,1994-05-26
5332601,Mary Mitchell,TWDB,30.55,-102.01,GW,2,4,4,2,0,765.0,783.0,774.0,1973-05-17,1979-07-24
5332801,Tommy Hayre,TWDB,30.53,-102.04,GW,3,3,3,3,0,833.0,896.0,854.3,1993-04-15,2007-06-14
4525612,W.E. Tone,TWDB,31.58,-102.91,GW,2,2,2,2,0,379.0,401.0,390.0,1972-05-15,1972-05-15
5339301,N.M. Mitchell,TWDB,30.46,-102.15,GW,3,3,3,3,0,258.0,368.0,311.7,1973-05-17,1985-05-02
5339302,N.M.Mitchell,TWDB,30.49,-102.15,GW,1,1,1,1,0,546.0,546.0,546.0,1993-04-14,1993-04-14
5340102,Conoco Phillips,TWDB,30.46,-102.1,GW,1,1,1,1,0,473.0,473.0,473.0,2007-06-14,2007-06-14
5401101,Nolke Estate,TWDB,30.97,-101.96,GW,3,3,3,3,0,2127.0,9038.0,4563.7,1962-12-06,1979-06-21
5401201,O. W. Parker,TWDB,30.98,-101.92,GW,1,1,1,1,0,653.0,653.0,653.0,1962-12-06,1962-12-06
